Lang_detect: en,Ext_id: com.seamlessweb.android.view,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,AppID,AppName,Language,Review Language,Version,VersionCode,OS,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Device,Device Type,Tags,Categories,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
19/7/2014 21:10,com.seamlessweb.android.view,,th,en,,,,Noon Journey ชีวิตคือการเดินทาง,5,,Benyapha T.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOF85ngDrJzxNPltMk3r6xVXe543OY4L-a-qnPkyxRwJlkbObmyfEpyhXGGcKcnwyR3b18i-qeK2UAzF728,https://appfollow.io/gp/112278/review/226038229?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=226038229
27/5/2016,com.seamlessweb.android.view,,en,en,,,,Jaime Munoz,5,Awesome!,I only wish more establishments partnered with it to have more options. But with those that apply its a neat app..,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEMtPKHRCqqF3sek--R3KK4t76NmivXEBBZq9N6F0g_J86KtEbYV7Hm48MK5NIgeKgQdYsQtvw9n2cuIeM,https://appfollow.io/gp/112278/review/55798987?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798987
27/5/2016,com.seamlessweb.android.view,,en,en,,,,Karen Hom,5,,Great app,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOH7_WtHl_xvYgL0hkj7D7Nb23CIXPlEHipavCNZfkBq7zfmF4NZjHnUp0TVbCDsoiYYGaYBfNk0Y67_2Rw,https://appfollow.io/gp/112278/review/55798988?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798988
27/5/2016,com.seamlessweb.android.view,,en,en,,,,Wilbert Nigel Christie,5,Fun and easy,This app makes life so freaking easy! Never had a problem. Just great!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOE5lt_SgOYlXx34RcKglMWQI247ikFT7I-5_7deTDwamUsnHVzIqmLBNcWJMJNpeWKaDAbdxtmIsmqNOGo,https://appfollow.io/gp/112278/review/55798989?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798989
27/5/2016,com.seamlessweb.android.view,,en,en,,,,amanda whitley,2,,Glitches suck,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEVpQNDZGw7QXGP4BSXJ3E1anq-CEc1DjTnxTUurygwHyR42yMJ5x7Xj5bciNjJRgvcVVtIVhT4W215gWw,https://appfollow.io/gp/112278/review/55798990?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798990
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Gilbert Perez,5,Gets me food,Works,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGtH9U2EP3Ph2mfsaS8TjIxVYxfH3kkUTH22H6Gk8xaKB8oNTpiFR4yR12-xD2xyc0D14SVACk1LYwpz-Y,https://appfollow.io/gp/112278/review/55798991?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798991
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Cintia Moncion,3,What happend to the cupons??,"They used to give codes, but not anymore. Will switch to eat24!",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFgcye3eIFjRT-OfgwScJ-uIuH-q6dubxSr6L9OY6QpmEDOwAzEsfnE9oBA-aClPoiCClFI6Vr9q5W_kIM,https://appfollow.io/gp/112278/review/55798992?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798992
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Cassie Burnett,5,Holes in my pocket,This app makes it whyyyyyyy too easy to be lazy!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOESK9fhhEbjRvZtBqTom2ClbJbdanGy8iGRpi0E90R7EWVWKgFjxfMozGBl86hHy3bnZmGAKzTHQKsZVSs,https://appfollow.io/gp/112278/review/55798993?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798993
28/5/2016,com.seamlessweb.android.view,,en,en,,,,AJ Mack,5,Trying it out,So far so good but not all good !! Some places were very late n food was bad so choose wisely !!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGrr4qwO3-ldfDEcY7Vc3HLfVKDMCkL6d3apKATADU76FbCyb3baVlJANVNiVeNbf1yzx0Zo8jDx1y9_7k,https://appfollow.io/gp/112278/review/55798994?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798994
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Sarah Bagu,5,Easier,Makes everything easier,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGEJ1aw9hRSXFXz020PuX8s9oUarOZqsqNmQzpCJ8av960ft1zhWB-yloddF5kfbDnBDAb1056hNvH5Ulg,https://appfollow.io/gp/112278/review/55798995?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798995
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Mark Dunn,4,Feed Me Seymore! !!,Great app. Just wish there were more restaurants in my area that use the service.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHkm7Sn06wQQ_TYtK3096SeX438N5VV8l_6ExaW96V_T8SucEF39bYoee1eFoLN-sDUno2PHo-Fj7nfjjU,https://appfollow.io/gp/112278/review/55798996?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798996
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Lisa Cai,5,Literally,Seamless,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGni751ZQ8TYNzpeA2ZFY_OitVN-5YO0ztP2a7qduFeApasOyYpBPlfwJBkxui7njKN7FS3mL7jduSGEEE,https://appfollow.io/gp/112278/review/55798997?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798997
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Mikey B,5,Great,Super Easy,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOE7vJUtXMExBXX6C6ndo2h3M3jnEDkQc6o7J9JVqI3s-OtYbboFJRfsvrdqqP-Ywq6XS_YWZksmqUztL7s,https://appfollow.io/gp/112278/review/55798998?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798998
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Vivian Ginorio,4,Yea,Love seamless makes ordering from  local restaurants easy.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOF4kQ_bv7yNPs6Fcdr7872sXcS8sFDf5uEKiRjIXlXTzqtUAaafaEKnoz9kHxdt4f8L7PuIzn2wWo-b1RI,https://appfollow.io/gp/112278/review/55798999?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798999
28/5/2016,com.seamlessweb.android.view,,en,en,,,,N Sainvillage,5,Awesome sauce!,Do it!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFDuFAKTZhtQNNhcl3Y37i0wnPHf5c7InD6g5v_iao4_dm8gvNbRzIO0VwxYrlrU0h7XLk_ILrX-VCALJE,https://appfollow.io/gp/112278/review/55799000?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799000
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Edwin J.,4,Seamless is awesome,The app's pretty well put together!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHdXo6_vhT9iqBN2EdkiskFTL7v_D8Q6XQTPtpVP8o1aSrQnTWSfZfCwM42SAO7rWMfJ-xS3euMGoxvdU0,https://appfollow.io/gp/112278/review/55799001?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799001
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Marissa San Martin,4,,Like the app always my go to when ordering online,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFQequZfFJ3A_De97FQDzMoHkuVVmFU9mm7QQCE2-ZQLWDl2z2RxkBHWrcV3CVzNUPuB9j7PrvE2WHCLf0,https://appfollow.io/gp/112278/review/55799002?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799002
28/5/2016,com.seamlessweb.android.view,,en,en,,,,John Ingebrigtsen,5,Easy and convenient,It's very intuitive and has information on every restaurant around us. Especially like that I can use PayPal to pay for my orders!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGFqO2Gb27UsKs-eETxO6sgPIMP8SXB4_WzSZKGiZUR_wMIVnbwvwFtFMBMsU2180ZF3dcsci9Qnc2--3k,https://appfollow.io/gp/112278/review/55799003?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799003
28/5/2016,com.seamlessweb.android.view,,en,en,,,,Justin Morton,4,,Better design then previous versions. More intuitive navigation options.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFSmSx7Gmn08Jd6rGWA1o99YJ05M_0J8bqo9wnVy1U-JfE037uH3KpSOp0VAbUGb9y3hyM3fPi24vW1qDM,https://appfollow.io/gp/112278/review/55799004?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799004
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Camille Lambert,5,Now shows 'Closed' places together with the opens ones in a search,"Late at night, you have to click on closed restaurant after closed restaurant to find an open one. How moronic is that???",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHeyJi5lCdOG07Tbz4ALRwO2V-Ojfs7fmbyjj8TzlHQ5AthZW2LteQELO1CDPVTmHIi0OyiXJV0vKegwsY,https://appfollow.io/gp/112278/review/55799005?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799005
