Ext_id: 381840917,Lang_detect: en,,,,,,,,,,,,,,,,,,,,,,,,
Date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
24/9/2017,381840917,,us,en,4.31.1,I've got a crush on you!,4,Addictive!,Be careful what you wish for. This convenient app will have you spending all your money on takeout!  But it will allow you to quickly and easily try some new options for food delivery in your area. Not every neighborhood will have the same kind of options but this app works very well in terms of getting food delivered to you especially in New York City.  I would love to see the opportunity to add little notes about what dishes I previously liked so that I can remember what to order and what not to order the next time I order from the same restaurant. I do like however that they show you your previous order and you can quickly re-order the same exact order. This app is too convenient I am forgetting how to cook!,,,28/9/2017 23:08,"Hi I've got a crush on you!, Thank you for the feedback. We appreciate this have a wonderful day.",,,,,,,,3,1,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=1808130911,https://appfollow.io/app/50238/review/98348066?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348066
27/10/2017,381840917,,us,en,4.31.1,Margaret Moore,1,Truly the worst food delivery app out there - I don't understand how this company is surviving,"Seamless is truly the worst food delivery app out there. I do not understand how this company is still in business. I've given this app multiple chances and every single time that I use it, something goes wrong - whether it's taking two hours instead of 45 minutes to deliver (this has happened every time I've ordered) or in the most recent instance where they literally cancelled my order 10 minutes after it was supposed to be delivered. That last experience was the most absurd situation I've experienced when it comes to food delivery apps - there was no apology or explanation it was just a note that my order had been cancelled and when I called customer service they could not have been less helpful. There are so many other and better options out there - stay clear of this one. Officially deleting this app and never looking back - I hope you do the same!",,,8/8/2018 23:13,Hi Margaret Moore. We are sorry to hear about your experience as this is not the experience we expect for our customers. If you can contact our Customer Service at 1-877-585-7878 so we can assist further.,,,,,,,,6,4,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=1877599285,https://appfollow.io/app/50238/review/98348063?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348063
10/11/2017,381840917,,us,en,4.34,KickLish,5,Love this app. Reliable. Amazing customer service.,"Seamless is the best. I have been using this product for years to order lunch at work, order dinner at home, order dessert and order breakfast in bed... I love you Seamless!

The few times I’ve had issues were resolved quickly by Seamless over the phone with a refund and credit/discounts for future orders. They were usually because the vendor at the store/restaurant made an error. I choose Seamless even when I have the menu and info to order directly to vendors because I don’t want to have to talk to people on a phone to get food. I just want to order it by tapping a few options and getting it to me ASAP (which in midtown Manhattan for me is 20-45min).

Thanks Seamless!",,,8/8/2018 23:21,Hi Kicklish. We appreciate the positive feedback. Thank you for using Seamless.,,,,,,,,1,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=1911719316,https://appfollow.io/app/50238/review/98348064?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348064
30/11/2017,381840917,,us,en,4.34.1,Harakirijasper,1,Used to work,"Seamless used to be our go-to-app.  Sadly their services and app update really made food ordering difficult.  First off many restaurants we were able to order from, are no longer available. When inquired, Seamless responded “we don’t see a large enough order from This area so we are no longer delivering food to this area.”  Now, according to these restaurants they still order to our address. 
Secondly, when food is ordered, addressed needs to be re-entered and I️t says food can of be ordered because it’s out of delivery area.  When inquired, seamless suggested that we use the web GUI.  Right, instead of fixing the problem or apologizing, try the website.  

There are plenty other food delivery services that can be used in NYC. Guess we don’t see a reason to continue supporting Seamless although we continued supporting using their services after they hiked up their “delivery” fee just as soon as they took over the delivery from the local restaurants.",,,8/8/2018 23:16,"Hi Harakirijasper. We are sorry to hear about this. Our tech team is constantly working to improve the app. If you need assistance, please contact Customer Service at 1-877-585-7878.",,,,,,,,,2,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=1960812605,https://appfollow.io/app/50238/review/98348065?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348065
15/12/2017,381840917,,us,en,4.35,DERP the hero,2,Good app with one HUGE flaw,"Seamless is an extremely streamlined and accessible app that shows you hundreds of restaurants in your neighborhood and even some you might not know about. In most cases it works very well and even when it doesn’t the customer support is top notch with short wait times and support representatives who know what they are doing and know the solution to most, if not all, problems. One system, however, is by far the most baffling one I’ve ever seen; When a restaurant doesn’t have its own staff for delivery, seamless will send it’s own drivers to pick it up and deliver it to you. The problem is that seamless gives the restaurant no way to identify a driver besides the driver saying so. This can lead to smart thieves walking into restaurants with the seamless logo on the window and walking out with your food because they claimed to be drivers. This is a huge oversight and I’ve gotten food stolen from me already. Fix this seamless, and you get 5 stars, this should not have been a problem in the first place.",,,8/8/2018 22:57,Hi DERP the hero. We are sorry to hear about this. If you can contact our Customer Service at 1-877-585-7878 so we can assist you further.,,,,,,,,9,10,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=1996972247,https://appfollow.io/app/50238/review/98348062?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348062
18/12/2017,381840917,,us,en,4.35,NYNJEngineer,5,Go To App,My go to app for ordering take-out.,,,6/9/2019 16:55,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2005107887,https://appfollow.io/app/50238/review/98348342?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348342
18/12/2017,381840917,,us,en,4.35,Fromfromfromfromisjsjsjsvykdsj,3,Freezing/crashing,"The app does as advertised when it works. However i get consistent crashes and the Pp locks my phone up quite often. A lot of the time i’ll have to find a computer to order from because my phone completely freezes. 

Besides that the service is great and it’s how I order most of my food.",,,6/9/2019 16:53,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2005290957,https://appfollow.io/app/50238/review/98348343?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348343
18/12/2017,381840917,,us,en,4.35,Talia Voider,1,Constantly Freezing And Crashing,"This app is able to shut down my entire home screen. It’ll literally freeze everything and I can’t even hold the power button to turn it all off. When I switch between apps, it crashes or it resets everything in the cart.",,,6/9/2019 16:52,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2007606465,https://appfollow.io/app/50238/review/98348344?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348344
19/12/2017,381840917,,us,en,4.36,JujuMoWett.vu,5,Great app????,"Way better choice than any other delivering app, it’s cheaper and came way before time, worker really nice ⭐️⭐️⭐️⭐️⭐️",,,6/9/2019 16:50,"Thank you for using Seamless.  We appreciate your feedback
",,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2009751886,https://appfollow.io/app/50238/review/98348345?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348345
19/12/2017,381840917,,us,en,4.36,ellepaige123,2,Great when it works,"Updating this 3 months later: app still crashes almost every use, even after “bug fix” updates. I’ve been ordering from the website which, honestly, is not user friendly at all.

—

The most recent updates have been really buggy- i.e. the app freezes/crashes and then my phone freezes. As a nyer I depend on seamless, but lately I've actually had to use the much less user friendly website. Please fix!",,,6/9/2019 16:47,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2010045604,https://appfollow.io/app/50238/review/98348346?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348346
