,Unnamed: 0,sentences,level_1,review,class,word_count
0,0,0,0,Awful,others,1
1,1,1,0,Bad,others,1
2,2,2,0,👎bad,others,1
3,3,3,0,Awful,others,1
4,4,4,0,Bad,others,1
5,5,5,0,Worst!!!,others,1
6,6,5,1,!,others,1
7,7,6,0,Terrible.,others,1
8,8,7,0,Broken,others,1
9,9,8,0,Sucks,others,1
10,10,9,0,Collapsed,others,1
11,11,10,0,Uselessness,others,1
12,12,11,0,No,others,1
13,13,12,0,Killer,others,1
14,14,13,0,Sucks,others,1
15,15,14,0,Meh,others,1
16,16,15,0,Rotten,others,1
17,17,16,0,Meh,others,1
18,18,17,0,Unprofessional,others,1
19,19,18,0,Unprofessional,others,1
20,20,19,0,awful,others,1
21,21,20,0,Nuts,others,1
22,22,21,0,unimpressed,others,1
23,23,22,0,Meh,others,1
24,24,23,0,Idk,others,1
25,25,24,0,Meh....,others,1
26,26,25,0,Scam,others,1
27,27,26,0,Terrible.,others,1
28,28,27,0,Dreadful,others,1
29,29,28,0,Worst,others,1
30,30,29,0,Useless,others,1
31,31,30,0,Bad,others,1
32,32,31,0,Bored!,others,1
33,33,32,0,Savage,others,1
34,34,33,0,Disgusting,others,1
35,35,34,0,Disappointing,others,1
36,36,35,0,Cries,others,1
37,37,36,0,Crap,others,1
38,38,37,0,Racist,others,1
39,39,38,0,Poor,others,1
40,40,39,0,Madness,others,1
41,41,40,0,Awful,others,1
42,42,41,0,Meh,others,1
43,43,42,0,Wicked,others,1
44,44,43,0,Avoid!,others,1
45,45,44,0,Irritating advertisement,others,2
46,46,45,0,Missing items,others,2
47,47,46,0,very troublesome,others,2
48,48,47,0,wrong order,others,2
49,49,48,0,poor application,others,2
50,50,49,0,insane response,others,2
51,51,50,0,Bad service.,others,2
52,52,51,0,terrible service,others,2
53,53,52,0,No offers,others,2
54,54,53,0,Worst services,others,2
55,55,54,0,poor delivery,others,2
56,56,55,0,Utterly useless.,others,2
57,57,56,0,No words,others,2
58,58,57,0,freezing cold,others,2
59,59,58,0,Worst app,others,2
60,60,59,0,Ridiculous service,others,2
61,61,60,0,pathetic service,others,2
62,62,61,0,forget products,others,2
63,63,62,0,worst 😡,others,2
64,64,63,0,no idea,others,2
65,65,64,0,Terrible avoid,others,2
66,66,65,0,missing item,others,2
67,67,66,0,No McDonald's,others,2
68,68,67,0,proper thieves,others,2
69,69,68,0,wrong order,others,2
70,70,69,0,no helpline,others,2
71,71,70,0,Terrible app!,others,2
72,72,71,0,Worst app.,others,2
73,73,72,0,Pathetic experience,others,2
74,74,73,0,Really bad.,others,2
75,75,74,0,missing food,others,2
76,76,75,0,Bad details,others,2
77,77,76,0,Worst ever,others,2
78,78,77,0,Poor service,others,2
79,79,78,0,Totally waste...,others,2
80,80,79,0,Poor Service,others,2
81,81,80,0,Quality poor,others,2
82,82,81,0,Bad application,others,2
83,83,82,0,Bomb !,others,2
84,84,82,1,!,others,1
85,85,83,0,bad app,others,2
86,86,84,0,No hassles,others,2
87,87,85,0,Terrible app,others,2
88,88,86,0,Waste App,others,2
89,89,87,0,Horrible system,others,2
90,90,88,0,Poor app,others,2
91,91,89,0,Terrible company,others,2
92,92,90,0,Hell yeah,others,2
93,93,91,0,Mad decent,others,2
94,94,92,0,Hate it.,others,2
95,95,93,0,Terrible app.,others,2
96,96,94,0,Just Awful,others,2
97,97,95,0,Terrible service!,others,2
98,98,95,1,!,others,1
99,99,96,0,Awful app,others,2
100,100,97,0,App sucks,others,2
101,101,98,0,Killer kau,others,2
102,102,99,0,Bad reviews,others,2
103,103,100,0,Worst app,others,2
104,104,101,0,ABSOLUTELY DREADFUL,others,2
105,105,102,0,Food sucks!,others,2
106,106,103,0,Disaster app,others,2
107,107,104,0,Horrible support,others,2
108,108,105,0,"Overpriced, pathetic",others,2
109,109,106,0,Bad experience.,others,2
110,110,107,0,Dont recommend,others,2
111,111,108,0,Dont recommend,others,2
112,112,109,0,Useless application,others,2
